CityProv,Age0to24,Age0to24percent,Age25to44,Age25to44percent,Age45to64,Age45to64percent,Age65up,Age65uppercent,Inc0to15,Inc0to15percent,Inc100up,Inc100uppercent,Inc15to25,Inc15to25percent,Inc25to35,Inc25to35percent,Inc35to50,Inc35to50percent,Inc50to75,Inc50to75percent,Inc75to100,Inc75to100percent,Median Age,Median Income
"Abbotsford-Mission, British Columbia",41692,15,34111,15,32848,15,18951,15,32848,26,5053,4,25268,20,17687,14,18951,15,17687,14,8843,7,38,26710
"Alma, Quebec",7462,19,5863,19,8528,19,4797,19,6396,24,1066,4,5063,19,3997,15,5063,19,3731,14,1332,5,42,27700
"Amos, Quebec",3971,19,3074,19,3843,19,2049,19,2562,20,640,5,2562,20,1793,14,2433,19,2049,16,768,6,40,31770
"Baie-Comeau, Quebec",6363,18,5421,18,8013,18,3771,18,4478,19,1649,7,4242,18,3064,13,4242,18,3771,16,2121,9,42,34300
"Barrie, Ontario",47946,16,36665,16,38075,16,18332,16,32434,23,8461,6,23973,17,16922,12,22563,16,22563,16,14102,10,38,33140
"Bathurst, New Brunswick",6368,16,5814,16,9691,16,5814,16,6922,25,1107,4,6091,22,4153,15,4430,16,3322,12,1661,6,45,26310
"Bay Roberts, Newfoundland and Labrador",2531,14,2260,14,2802,14,1536,14,2260,25,542,6,2079,23,1356,15,1265,14,994,11,542,6,41,25950
"Belleville, Ontario",21075,17,16157,17,19670,17,13347,17,16157,23,2810,4,13347,19,10537,15,11942,17,10537,15,4917,7,41,28320
"Brandon, Manitoba",14924,18,12365,18,9807,18,5969,18,9380,22,1705,4,7248,17,6396,15,7675,18,7248,17,2984,7,37,31000
"Brantford, Ontario",32060,17,25047,17,28053,17,16030,17,23043,23,5009,5,19036,19,14026,14,17032,17,15028,15,7013,7,39,31100
"Brockville, Ontario",7454,17,5522,17,8559,17,6074,17,6074,22,1380,5,5245,19,4141,15,4693,17,4141,15,1932,7,44,27760
"Brooks, Alberta",6574,20,5686,20,3909,20,1777,20,3198,18,1599,9,2843,16,2132,12,3554,20,2843,16,1599,9,34,36620
"Calgary, Alberta",307046,15,316641,15,249475,15,95952,15,191904,20,143928,15,134332,14,95952,10,143928,15,163118,17,86356,9,36,41970
"Campbell River, British Columbia",7887,16,6197,16,9014,16,5070,16,6197,22,1690,6,5352,19,4225,15,4507,16,4225,15,1971,7,42,26550
"Campbellton, New Brunswick part",2832,17,2360,17,4130,17,2478,17,2950,25,236,2,2832,24,2006,17,2006,17,1180,10,590,5,45,24320
"Campbellton, Quebec part",961,12,614,12,747,12,347,12,1068,40,26,1,614,23,347,13,320,12,240,9,53,2,37,16980
"Campbellton, combined NewBrunswick/Quebec",3906,16,3038,16,4919,16,2749,16,4051,28,289,2,3472,24,2315,16,2315,16,1447,10,578,4,43,22950
"Camrose, Alberta",4770,16,3693,16,4001,16,2924,16,2616,17,1385,9,2924,19,2154,14,2462,16,2462,16,1385,9,40,35610
"Canmore, Alberta",2659,17,3478,17,3069,17,1125,17,1636,16,1329,13,1432,14,1329,13,1739,17,1841,18,920,9,39,35000
"Cape Breton, Nova Scotia",22864,15,17148,15,26131,15,16332,15,20415,25,2449,3,18781,23,13065,16,12249,15,9799,12,4899,6,43,25470
"Centre Wellington, Ontario",6088,18,4517,18,5499,18,3535,18,3928,20,1374,7,2946,15,2553,13,3535,18,3535,18,1767,9,40,35090
"Charlottetown, Prince Edward Island",15639,18,13032,18,15117,18,8340,18,11468,22,2606,5,9904,19,7819,15,9383,18,8340,16,2606,5,40,28010
"Chatham-Kent, Ontario",22479,17,16484,17,21729,17,14236,17,17983,24,2997,4,14986,20,11239,15,12738,17,10490,14,4495,6,41,25080
"Chilliwack, British Columbia",22995,15,17246,15,18683,15,12934,15,17246,24,2874,4,15090,21,10060,14,10779,15,10779,15,5030,7,40,26480
"Cobourg, Ontario",4633,17,3385,17,5167,17,4811,17,3742,21,1069,6,3385,19,2673,15,3029,17,2494,14,1425,8,46,27310
"Cold Lake, Alberta",4972,12,4335,12,2677,12,765,12,2040,16,2040,16,1530,12,1275,10,1530,12,2805,22,1530,12,32,50400
"Collingwood , Ontario",4422,16,3603,16,4586,16,3767,16,3439,21,982,6,3439,21,2457,15,2620,16,2293,14,1146,7,44,24790
"Corner Brook, Newfoundland and Labrador",6258,17,5563,17,7185,17,4172,17,5099,22,927,4,5099,22,3477,15,3940,17,3013,13,1622,7,42,28340
"Cornwall, Ontario",13670,17,9899,17,14142,17,9428,17,11313,24,1414,3,10842,23,7071,15,8013,17,6128,13,2357,5,42,26700
"Courtenay, British Columbia",11085,17,9311,17,13745,17,10641,17,9754,22,2217,5,8868,20,6207,14,7537,17,7094,16,2660,6,45,22470
"Cowansville, Quebec",2864,18,2148,18,2966,18,2148,18,2352,23,204,2,2557,25,1739,17,1841,18,1125,11,409,4,43,25280
"Cranbrook, British Columbia",5658,16,4648,16,6265,16,3637,16,4244,21,1414,7,3637,18,2829,14,3233,16,3233,16,1616,8,41,29730
"Dawson Creek, British Columbia",3406,16,2805,16,2605,16,1302,16,1803,18,1002,10,1603,16,1302,13,1603,16,1703,17,1002,10,37,37930
"Dolbeau-Mistassini, Quebec",3588,18,2790,18,4385,18,2658,18,3322,25,265,2,2923,22,1993,15,2392,18,1860,14,531,4,43,24380
"Drummondville, Quebec",21561,19,17967,19,20842,19,12217,19,16530,23,1437,2,16530,23,11499,16,13655,19,9343,13,2874,4,40,27700
"Duncan, British Columbia",9514,17,7135,17,10194,17,7135,17,8155,24,1359,4,7135,21,4757,14,5776,17,4417,13,2378,7,43,24360
"Edmonton, Alberta",287942,15,278944,15,224955,15,107978,15,161967,18,107978,12,134973,15,98980,11,134973,15,161967,18,98980,11,37,42440
"Edmundston, New Brunswick",4280,18,4094,18,6513,18,3722,18,4280,23,372,2,4466,24,2977,16,3349,18,2233,12,930,5,44,26340
"Elliot Lake, Ontario",1866,14,1306,14,2799,14,3358,14,2425,26,373,4,2425,26,1492,16,1306,14,933,10,373,4,51,21330
"Estevan, Saskatchewan",3855,15,3402,15,2721,15,1360,15,1701,15,1927,17,1360,12,1360,12,1701,15,1927,17,1360,12,36,45530
"Fort St. John, British Columbia",7115,14,6538,14,4230,14,1538,14,3076,16,2884,15,2499,13,2115,11,2692,14,3461,18,2499,13,33,45040
"Fredericton, New Brunswick",21564,18,19407,18,20126,18,10782,18,15813,22,4312,6,12219,17,9344,13,12938,18,12219,17,5031,7,39,32660
"Granby, Quebec",18348,19,15184,19,18981,19,11388,19,13286,21,1898,3,13919,22,10123,16,12021,19,8857,14,3163,5,41,28230
"Grand Falls-Windsor, Newfoundland and Labrador",2943,17,2716,17,3509,17,2150,17,2716,24,566,5,2377,21,1584,14,1924,17,1358,12,792,7,43,27160
"Grande Prairie, Alberta",18281,15,16838,15,9622,15,2886,15,7697,16,7697,16,6254,13,4811,10,7216,15,8659,18,5773,12,32,46050
"Greater Sudbury, Ontario",37623,17,31352,17,36368,17,21319,17,26336,21,11286,9,18811,15,16303,13,21319,17,20065,16,11286,9,40,34530
"Guelph, Ontario",34189,17,29778,17,29778,17,16543,17,23160,21,8823,8,16543,15,13234,12,18749,17,19852,18,9926,9,39,36770
"Halifax, Nova Scotia",85874,17,79952,17,85874,17,41456,17,65146,22,20728,7,47379,16,38495,13,50340,17,50340,17,23689,8,40,33400
"Hamilton, Ontario",169455,16,136657,16,153056,16,92927,16,125724,23,38264,7,92927,17,65595,12,87460,16,87460,16,49196,9,40,33690
"Hawkesbury, Ontario part",2200,16,1672,16,2904,16,2024,16,2200,25,176,2,2376,27,1320,15,1408,16,968,11,352,4,45,24200
"Hawkesbury, Quebec part",402,16,294,16,388,16,241,16,348,26,0,0,321,24,227,17,214,16,160,12,0,0,40,25480
"Hawkesbury, combined Ontario/Quebec",2636,16,2028,16,3244,16,2230,16,2535,25,202,2,2737,27,1521,15,1622,16,1115,11,405,4,44,24290
"High River, Alberta",3216,18,2883,18,2883,18,2107,18,2107,19,998,9,1774,16,1441,13,1996,18,1774,16,998,9,41,35020
"Ingersoll, Ontario",3399,18,2575,18,2884,18,1545,18,2163,21,515,5,1751,17,1339,13,1854,18,1751,17,927,9,39,34370
"Joiliette, Quebec",10621,18,8654,18,11802,18,8261,18,9048,23,1180,3,9048,23,5901,15,7081,18,5507,14,1573,4,43,28110
"Kamloops, British Columbia",23043,17,19865,17,23838,17,13508,17,16686,21,5562,7,14302,18,10329,13,13508,17,12713,16,6356,8,41,31300
"Kawartha Lakes, Ontario",14794,18,10811,18,17639,18,13087,18,13087,23,2276,4,11380,20,7966,14,10242,18,7966,14,3983,7,45,25740
"Kelowna, British Columbia",38569,16,34284,16,41426,16,28570,16,31427,22,8571,6,27141,19,19999,14,22856,16,22856,16,9999,7,42,28000
"Kenora, Ontario",3400,19,2523,19,3291,19,1864,19,2194,20,658,6,1864,17,1426,13,2084,19,1864,17,877,8,40,32140
"Kentville, Nova Scotia",6023,16,4777,16,6438,16,3738,16,5192,25,623,3,4569,22,3323,16,3323,16,2700,13,1038,5,42,24940
"Kingston, Ontario",33747,17,29092,17,32583,17,20946,17,24437,21,8145,7,19782,17,13964,12,19782,17,19782,17,10473,9,41,32110
"Kitchener-Cambridge-Waterloo, Ontario",119486,16,101382,16,94140,16,47070,16,83278,23,25345,7,57932,16,47070,13,57932,16,61553,17,28966,8,38,35200
"Lachute, Quebec",2853,16,2219,16,3276,16,2219,16,2748,26,211,2,2748,26,1585,15,1691,16,1268,12,317,3,43,23800
"Lacombe, Alberta",4140,16,2990,16,2875,16,1495,16,2185,19,1380,12,1725,15,1380,12,1840,16,1840,16,1150,10,37,37950
"Leamington, Ontario",11632,15,17216,15,11632,15,6048,15,12097,26,1395,3,11167,24,6514,14,6979,15,5583,12,2791,6,39,21470
"Lethbridge, Alberta",29627,17,22855,17,20316,17,12697,17,16930,20,5925,7,16083,19,11851,14,14390,17,13544,16,5925,7,37,32340
"Lloydminster, Alberta part",5327,14,4870,14,3652,14,1522,14,2283,15,2739,18,1978,13,1674,11,2130,14,2587,17,1826,12,35,44370
"Lloydminster, Saskatchewan part",4672,16,4088,16,2219,16,817,16,1985,17,1284,11,1518,13,1518,13,1868,16,2219,19,1284,11,31,39620
"Lloydminster, combined Alberta/Saskatchewan",9953,16,8877,16,5649,16,2152,16,4304,16,4035,15,3497,13,2959,11,4304,16,4573,17,3228,12,33,42130
"London, Ontario",111860,17,93818,17,97426,17,57734,17,86601,24,21650,6,61342,17,43300,12,61342,17,57734,16,28867,8,39,31470
"Matane, Quebec",3548,18,3240,18,5400,18,3394,18,3548,23,462,3,3703,24,2468,16,2777,18,2005,13,462,3,45,26070
"Medicine Hat, Alberta",18265,15,15411,15,15411,15,8562,15,10274,18,5708,10,10845,19,7420,13,8562,15,9132,16,5137,9,39,35070
"Midland, Ontario",7587,17,5901,17,8711,17,5901,17,6744,24,843,3,5901,21,4215,15,4777,17,3934,14,1686,6,43,27390
"Miramichi, New Brunswick",6023,17,4908,17,7139,17,4462,17,5354,24,892,4,4685,21,3569,16,3792,17,2900,13,1115,5,43,25950
"Moncton, New Brunswick",31685,19,30592,19,30592,19,17481,19,22944,21,5463,5,20759,19,16389,15,20759,19,16389,15,6555,6,40,30960
"Montr�al, Quebec",900672,17,840627,17,810604,17,450336,17,720537,24,180134,6,570425,19,390291,13,510380,17,450336,15,180134,6,39,30760
"Moose Jaw, Saskatchewan",8618,18,6950,18,7506,18,5004,18,5282,19,1946,7,5004,18,3892,14,5004,18,4448,16,2224,8,40,34010
"Nanaimo, British Columbia",20547,18,17503,18,22830,18,15220,18,17503,23,3805,5,14459,19,10654,14,13698,18,11415,15,4566,6,43,26190
"New Glasgow, Nova Scotia",7851,16,6449,16,8692,16,5327,16,7010,25,1121,4,6168,22,4206,15,4486,16,3645,13,1402,5,42,25340
"Non CMA-CA, Alberta",186678,14,129637,14,134823,14,67411,14,108895,21,51855,10,93339,18,62226,12,72597,14,82968,16,46669,9,37,33700
"Non CMA-CA, British Columbia",112541,14,91700,14,133382,14,79195,14,104205,25,25009,6,83364,20,58354,14,58354,14,58354,14,29177,7,43,24810
"Non CMA-CA, Manitoba",103724,16,62780,16,68240,16,40944,16,76428,28,10918,4,54592,20,38214,14,43673,16,35484,13,13648,5,37,27410
"Non CMA-CA, New Brunswick",63574,16,54155,16,75347,16,44737,16,56510,24,7063,3,56510,24,42382,18,37673,16,25900,11,9418,4,43,23500
"Non CMA-CA, Newfoundland and Labrador",55527,14,48864,14,75517,14,42200,14,55527,25,11105,5,55527,25,33316,15,31095,14,22211,10,13326,6,44,23430
"Non CMA-CA, Northwest Territories",6461,10,4412,10,3782,10,1260,10,4728,30,2206,14,2364,15,1418,9,1576,10,1891,12,1576,10,33,31340
"Non CMA-CA, Nova Scotia",68159,17,55051,17,83888,17,55051,17,65537,25,7864,3,60294,23,39322,15,44565,17,31458,12,13107,5,44,23980
"Non CMA-CA, Ontario",335586,17,234910,17,335586,17,212537,17,257282,23,55931,5,212537,19,145420,13,190165,17,178979,16,78303,7,42,28520
"Non CMA-CA, Prince Edward Island",13158,19,9649,19,13596,19,7894,19,9210,21,877,2,10087,23,7894,18,8333,19,5701,13,1754,4,41,21930
"Non CMA-CA, Quebec",352788,18,277191,18,403187,18,226792,18,302390,24,37798,3,289790,23,201593,16,226792,18,163794,13,37798,3,42,25090
"Non CMA-CA, Saskatchewan",104114,16,65443,16,77342,16,50569,16,71392,24,17848,6,59494,20,38671,13,47595,16,41645,14,20822,7,38,27930
"Non CMA-CA, Yukon",1749,17,1515,17,1865,17,699,17,1224,21,291,5,991,17,816,14,991,17,991,17,524,9,39,28520
"Norfolk, Ontario",13705,17,9924,17,14178,17,9452,17,10869,23,1890,4,9924,21,6616,14,8034,17,6616,14,3308,7,42,25840
"North Battleford, Saskatchewan",5383,19,3845,19,3845,19,2307,19,3076,20,1076,7,2614,17,2307,15,2922,19,2307,15,1076,7,38,32960
"North Bay, Ontario",14726,17,12187,17,14726,17,9140,17,11171,22,3046,6,9648,19,6093,12,8632,17,8632,17,3554,7,41,31440
"Okotoks, Alberta",8165,13,6400,13,5517,13,1986,13,4193,19,3751,17,2869,13,2207,10,2869,13,3751,17,2427,11,34,41580
"Orillia, Ontario",10300,17,7459,17,10300,17,7459,17,8169,23,1420,4,7459,21,4972,14,6038,17,4972,14,2486,7,43,26350
"Oshawa, Ontario",87987,16,69323,16,71990,16,34661,16,58658,22,21330,8,39994,15,31995,12,42660,16,45327,17,26663,10,38,36110
"Ottawa - Gatineau, combined Ontario/Quebec",289164,15,251853,15,261181,15,130590,15,186558,20,93279,10,130590,14,102606,11,139918,15,177230,19,102606,11,39,40300
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",215360,14,187571,14,194518,14,97259,14,145889,21,76418,11,90312,13,69471,10,97259,14,131994,19,83365,12,39,41450
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",76185,17,64281,17,69043,17,28569,17,47616,20,14284,6,35712,15,28569,12,40473,17,47616,20,23808,10,38,37590
