Ref_Date,GEO,DON,Value
2012,"St. John's, Newfoundland and Labrador",Number of persons,191580
2012,"St. John's, Newfoundland and Labrador",Percentage of persons aged 0 to 24 years,29
2012,"St. John's, Newfoundland and Labrador",Percentage of persons aged 25 to 44 years,29
2012,"St. John's, Newfoundland and Labrador",Percentage of persons aged 45 to 64 years,29
2012,"St. John's, Newfoundland and Labrador",Percentage of persons aged 65 years and over,14
2012,"St. John's, Newfoundland and Labrador","Percentage of persons with total income $15,000 and over",80
2012,"St. John's, Newfoundland and Labrador","Percentage of persons with total income $25,000 and over",63
2012,"St. John's, Newfoundland and Labrador","Percentage of persons with total income $35,000 and over",50
2012,"St. John's, Newfoundland and Labrador","Percentage of persons with total income $50,000 and over",33
2012,"St. John's, Newfoundland and Labrador","Percentage of persons with total income $75,000 and over",17
2012,"St. John's, Newfoundland and Labrador","Percentage of persons with total income $100,000 and over",8
2012,"Bay Roberts, Newfoundland and Labrador",Number of persons,11220
2012,"Bay Roberts, Newfoundland and Labrador",Percentage of persons aged 0 to 24 years,28
2012,"Bay Roberts, Newfoundland and Labrador",Percentage of persons aged 25 to 44 years,25
2012,"Bay Roberts, Newfoundland and Labrador",Percentage of persons aged 45 to 64 years,31
2012,"Bay Roberts, Newfoundland and Labrador",Percentage of persons aged 65 years and over,17
2012,"Bay Roberts, Newfoundland and Labrador","Percentage of persons with total income $15,000 and over",75
2012,"Bay Roberts, Newfoundland and Labrador","Percentage of persons with total income $25,000 and over",52
2012,"Bay Roberts, Newfoundland and Labrador","Percentage of persons with total income $35,000 and over",37
2012,"Bay Roberts, Newfoundland and Labrador","Percentage of persons with total income $50,000 and over",23
2012,"Bay Roberts, Newfoundland and Labrador","Percentage of persons with total income $75,000 and over",12
2012,"Bay Roberts, Newfoundland and Labrador","Percentage of persons with total income $100,000 and over",6
2012,"Grand Falls-Windsor, Newfoundland and Labrador",Number of persons,13950
2012,"Grand Falls-Windsor, Newfoundland and Labrador",Percentage of persons aged 0 to 24 years,26
2012,"Grand Falls-Windsor, Newfoundland and Labrador",Percentage of persons aged 25 to 44 years,24
2012,"Grand Falls-Windsor, Newfoundland and Labrador",Percentage of persons aged 45 to 64 years,31
2012,"Grand Falls-Windsor, Newfoundland and Labrador",Percentage of persons aged 65 years and over,19
2012,"Grand Falls-Windsor, Newfoundland and Labrador","Percentage of persons with total income $15,000 and over",76
2012,"Grand Falls-Windsor, Newfoundland and Labrador","Percentage of persons with total income $25,000 and over",55
2012,"Grand Falls-Windsor, Newfoundland and Labrador","Percentage of persons with total income $35,000 and over",41
2012,"Grand Falls-Windsor, Newfoundland and Labrador","Percentage of persons with total income $50,000 and over",24
2012,"Grand Falls-Windsor, Newfoundland and Labrador","Percentage of persons with total income $75,000 and over",12
2012,"Grand Falls-Windsor, Newfoundland and Labrador","Percentage of persons with total income $100,000 and over",5
2012,"Corner Brook, Newfoundland and Labrador",Number of persons,28230
2012,"Corner Brook, Newfoundland and Labrador",Percentage of persons aged 0 to 24 years,27
2012,"Corner Brook, Newfoundland and Labrador",Percentage of persons aged 25 to 44 years,24
2012,"Corner Brook, Newfoundland and Labrador",Percentage of persons aged 45 to 64 years,31
2012,"Corner Brook, Newfoundland and Labrador",Percentage of persons aged 65 years and over,18
2012,"Corner Brook, Newfoundland and Labrador","Percentage of persons with total income $15,000 and over",78
2012,"Corner Brook, Newfoundland and Labrador","Percentage of persons with total income $25,000 and over",56
2012,"Corner Brook, Newfoundland and Labrador","Percentage of persons with total income $35,000 and over",41
2012,"Corner Brook, Newfoundland and Labrador","Percentage of persons with total income $50,000 and over",24
2012,"Corner Brook, Newfoundland and Labrador","Percentage of persons with total income $75,000 and over",11
2012,"Corner Brook, Newfoundland and Labrador","Percentage of persons with total income $100,000 and over",4
2012,"Non CMA-CA, Newfoundland and Labrador",Number of persons,268520
2012,"Non CMA-CA, Newfoundland and Labrador",Percentage of persons aged 0 to 24 years,25
2012,"Non CMA-CA, Newfoundland and Labrador",Percentage of persons aged 25 to 44 years,22
2012,"Non CMA-CA, Newfoundland and Labrador",Percentage of persons aged 45 to 64 years,34
2012,"Non CMA-CA, Newfoundland and Labrador",Percentage of persons aged 65 years and over,19
2012,"Non CMA-CA, Newfoundland and Labrador","Percentage of persons with total income $15,000 and over",75
2012,"Non CMA-CA, Newfoundland and Labrador","Percentage of persons with total income $25,000 and over",50
2012,"Non CMA-CA, Newfoundland and Labrador","Percentage of persons with total income $35,000 and over",35
2012,"Non CMA-CA, Newfoundland and Labrador","Percentage of persons with total income $50,000 and over",21
