Ref_Date,GEO,STAT,SUMMARY,Value
2010,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7414
2011,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7671
2012,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7566
2013,Newfoundland and Labrador,Average expenditure per household,Food expenditures,7677
2010,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5753
2011,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5856
2012,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5882
2013,Newfoundland and Labrador,Average expenditure per household,Food purchased from stores,5817
2010,Newfoundland and Labrador,Average expenditure per household,Bakery products,581
2011,Newfoundland and Labrador,Average expenditure per household,Bakery products,591
2012,Newfoundland and Labrador,Average expenditure per household,Bakery products,582
2013,Newfoundland and Labrador,Average expenditure per household,Bakery products,594
2010,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,361
2011,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,370
2012,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,328
2013,Newfoundland and Labrador,Average expenditure per household,Cereal grains and cereal products,337
2010,Newfoundland and Labrador,Average expenditure per household,"Fruit, fruit preparations and nuts",582
2011,Newfoundland and Labrador,Average expenditure per household,"Fruit, fruit preparations and nuts",594
2012,Newfoundland and Labrador,Average expenditure per household,"Fruit, fruit preparations and nuts",631
2013,Newfoundland and Labrador,Average expenditure per household,"Fruit, fruit preparations and nuts",602
2010,Newfoundland and Labrador,Average expenditure per household,Vegetables and vegetable preparations,586
2011,Newfoundland and Labrador,Average expenditure per household,Vegetables and vegetable preparations,578
2012,Newfoundland and Labrador,Average expenditure per household,Vegetables and vegetable preparations,621
2013,Newfoundland and Labrador,Average expenditure per household,Vegetables and vegetable preparations,624
2010,Newfoundland and Labrador,Average expenditure per household,Dairy products and eggs,808
2011,Newfoundland and Labrador,Average expenditure per household,Dairy products and eggs,815
2012,Newfoundland and Labrador,Average expenditure per household,Dairy products and eggs,830
2013,Newfoundland and Labrador,Average expenditure per household,Dairy products and eggs,853
2010,Newfoundland and Labrador,Average expenditure per household,Meat,1276
2011,Newfoundland and Labrador,Average expenditure per household,Meat,1300
2012,Newfoundland and Labrador,Average expenditure per household,Meat,1226
2013,Newfoundland and Labrador,Average expenditure per household,Meat,1166
2010,Newfoundland and Labrador,Average expenditure per household,Fish and seafood,133
2011,Newfoundland and Labrador,Average expenditure per household,Fish and seafood,114
2012,Newfoundland and Labrador,Average expenditure per household,Fish and seafood,145
2013,Newfoundland and Labrador,Average expenditure per household,Fish and seafood,159
2010,Newfoundland and Labrador,Average expenditure per household,Non-alcoholic beverages and other food products,1425
2011,Newfoundland and Labrador,Average expenditure per household,Non-alcoholic beverages and other food products,1493
2012,Newfoundland and Labrador,Average expenditure per household,Non-alcoholic beverages and other food products,1518
2013,Newfoundland and Labrador,Average expenditure per household,Non-alcoholic beverages and other food products,1481
2010,Newfoundland and Labrador,Average expenditure per household,Food purchased from restaurants,1661
2011,Newfoundland and Labrador,Average expenditure per household,Food purchased from restaurants,1815
2012,Newfoundland and Labrador,Average expenditure per household,Food purchased from restaurants,1684
2013,Newfoundland and Labrador,Average expenditure per household,Food purchased from restaurants,1859
2010,Newfoundland and Labrador,Average expenditure per household,Restaurant meals,1416
2011,Newfoundland and Labrador,Average expenditure per household,Restaurant meals,1561
2012,Newfoundland and Labrador,Average expenditure per household,Restaurant meals,1444
2013,Newfoundland and Labrador,Average expenditure per household,Restaurant meals,1647
2010,Newfoundland and Labrador,Average expenditure per household,Restaurant snacks and beverages,245
2011,Newfoundland and Labrador,Average expenditure per household,Restaurant snacks and beverages,254
2012,Newfoundland and Labrador,Average expenditure per household,Restaurant snacks and beverages,240
2013,Newfoundland and Labrador,Average expenditure per household,Restaurant snacks and beverages,212
2010,Newfoundland and Labrador,Average expenditure per household,Shelter,10395
2011,Newfoundland and Labrador,Average expenditure per household,Shelter,10589
2012,Newfoundland and Labrador,Average expenditure per household,Shelter,12131
2013,Newfoundland and Labrador,Average expenditure per household,Shelter,12513
2010,Newfoundland and Labrador,Average expenditure per household,Principal accommodation,9571
2011,Newfoundland and Labrador,Average expenditure per household,Principal accommodation,9792
2012,Newfoundland and Labrador,Average expenditure per household,Principal accommodation,10587
2013,Newfoundland and Labrador,Average expenditure per household,Principal accommodation,11235
2010,Newfoundland and Labrador,Average expenditure per household,Hotels and motels,278
2011,Newfoundland and Labrador,Average expenditure per household,Hotels and motels,245
2012,Newfoundland and Labrador,Average expenditure per household,Hotels and motels,291
2013,Newfoundland and Labrador,Average expenditure per household,Hotels and motels,303
2010,Newfoundland and Labrador,Average expenditure per household,Other accommodation away from home,72
2011,Newfoundland and Labrador,Average expenditure per household,Other accommodation away from home,90
2012,Newfoundland and Labrador,Average expenditure per household,Other accommodation away from home,314
2013,Newfoundland and Labrador,Average expenditure per household,Other accommodation away from home,228
2010,Newfoundland and Labrador,Average expenditure per household,"Cell phone, pager and handheld text messaging services",611
2011,Newfoundland and Labrador,Average expenditure per household,"Cell phone, pager and handheld text messaging services",703
2012,Newfoundland and Labrador,Average expenditure per household,"Cell phone, pager and handheld text messaging services",837
2013,Newfoundland and Labrador,Average expenditure per household,"Cell phone, pager and handheld text messaging services",932
2010,Newfoundland and Labrador,Average expenditure per household,Internet access services,373
2011,Newfoundland and Labrador,Average expenditure per household,Internet access services,384
2012,Newfoundland and Labrador,Average expenditure per household,Internet access services,434
2013,Newfoundland and Labrador,Average expenditure per household,Internet access services,492
2010,Newfoundland and Labrador,Average expenditure per household,On-line services,F
2011,Newfoundland and Labrador,Average expenditure per household,On-line services,F
2012,Newfoundland and Labrador,Average expenditure per household,On-line services,8
2013,Newfoundland and Labrador,Average expenditure per household,On-line services,12
2010,Newfoundland and Labrador,Average expenditure per household,"Postal, courier and other communication services",63
2011,Newfoundland and Labrador,Average expenditure per household,"Postal, courier and other communication services",67
2012,Newfoundland and Labrador,Average expenditure per household,"Postal, courier and other communication services",86
